Sport,Age,Height,Weight,Sex
Judo,23.0,170.0,60.0,M
Gymnastics,28.0,175.0,64.0,M
Gymnastics,28.0,175.0,64.0,M
Gymnastics,28.0,175.0,64.0,M
Gymnastics,28.0,175.0,64.0,M
Gymnastics,28.0,175.0,64.0,M
Gymnastics,28.0,175.0,64.0,M
Gymnastics,28.0,175.0,64.0,M
Gymnastics,28.0,175.0,64.0,M
Art Competitions,54.0,,,M
Athletics,30.0,187.0,76.0,M
Shooting,45.0,194.0,93.0,M
Boxing,24.0,,64.0,M
Boxing,,,,M
Athletics,26.0,179.0,80.0,F
Handball,27.0,182.0,86.0,M
Rowing,30.0,182.0,73.0,F
Athletics,27.0,190.0,80.0,M
Boxing,19.0,175.0,75.0,M
Hockey,37.0,178.0,80.0,M
Hockey,28.0,165.0,60.0,M
Rowing,28.0,173.0,60.0,F
Water Polo,28.0,171.0,64.0,F
Wrestling,34.0,185.0,98.0,M
Synchronized Swimming,19.0,167.0,60.0,F
Fencing,31.0,,,M
Fencing,31.0,,,M
Fencing,31.0,,,M
Wrestling,,,,M
Water Polo,21.0,,,M
Swimming,21.0,,,M
Swimming,21.0,,,M
Fencing,33.0,,,M
Fencing,33.0,,,M
Gymnastics,19.0,,,M
Gymnastics,19.0,,,M
Gymnastics,19.0,,,M
Gymnastics,19.0,,,M
Gymnastics,19.0,,,M
Gymnastics,19.0,,,M
Gymnastics,19.0,,,M
Gymnastics,19.0,,,M
Wrestling,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Weightlifting,24.0,173.0,77.0,M
Weightlifting,21.0,170.0,94.0,M
Wrestling,23.0,170.0,60.0,M
Athletics,23.0,194.0,96.0,M
Volleyball,26.0,173.0,60.0,F
Wrestling,22.0,170.0,80.0,M
Athletics,34.0,178.0,66.0,M
Fencing,41.0,,,M
Athletics,35.0,178.0,61.0,M
Boxing,26.0,176.0,60.0,M
Athletics,26.0,163.0,56.0,F
Hockey,,,,M
Diving,33.0,,,M
Fencing,26.0,166.0,61.0,F
Boxing,20.0,,,M
Wrestling,22.0,190.0,130.0,M
Athletics,21.0,170.0,47.0,F
Weightlifting,20.0,162.0,72.0,F
Football,23.0,168.0,68.0,M
Football,20.0,168.0,62.0,M
Synchronized Swimming,19.0,170.0,59.0,F
Synchronized Swimming,19.0,170.0,59.0,F
Weightlifting,25.0,162.0,69.0,M
Taekwondo,23.0,183.0,74.0,M
Wrestling,34.0,170.0,84.0,M
Fencing,27.0,180.0,83.0,M
Diving,20.0,160.0,62.0,F
Diving,20.0,160.0,62.0,F
Shooting,48.0,,,M
Judo,28.0,,62.0,F
Water Polo,26.0,,,M
Athletics,30.0,170.0,60.0,F
Football,23.0,187.0,75.0,M
Badminton,27.0,177.0,68.0,M
Athletics,24.0,173.0,53.0,F
Football,27.0,168.0,60.0,F
Athletics,24.0,159.0,54.0,F
Gymnastics,19.0,161.0,62.0,M
Gymnastics,19.0,161.0,62.0,M
Gymnastics,19.0,161.0,62.0,M
Gymnastics,19.0,161.0,62.0,M
Gymnastics,19.0,161.0,62.0,M
Gymnastics,19.0,161.0,62.0,M
Athletics,17.0,170.0,53.0,F
Football,27.0,,,M
Basketball,24.0,,,M
Fencing,38.0,,,M
Fencing,38.0,,,M
Athletics,31.0,180.0,64.0,M
Fencing,21.0,188.0,87.0,M
Fencing,21.0,188.0,87.0,M
Football,33.0,182.0,77.0,M
Athletics,25.0,183.0,72.0,M
Football,22.0,172.0,70.0,M
Athletics,34.0,164.0,52.0,F
Cycling,22.0,162.0,50.0,F
Cycling,31.0,180.0,68.0,M
Athletics,21.0,168.0,62.0,M
Athletics,28.0,168.0,67.0,M
Judo,28.0,172.0,72.0,M
Taekwondo,28.0,183.0,68.0,M
Boxing,29.0,168.0,56.0,M
Triathlon,31.0,175.0,56.0,F
Athletics,21.0,,,M
Athletics,21.0,,,M
Handball,24.0,194.0,104.0,M
Rowing,26.0,,,M
Rowing,33.0,,,M
Gymnastics,27.0,,,M
Fencing,31.0,,,M
Fencing,31.0,,,M
Athletics,21.0,,,M
Rhythmic Gymnastics,20.0,164.0,50.0,F
Basketball,29.0,208.0,110.0,M
Athletics,24.0,167.0,52.0,F
Basketball,19.0,190.0,86.0,F
Volleyball,17.0,176.0,45.0,F
Wrestling,27.0,184.0,84.0,M
Rowing,27.0,172.0,72.0,F
Weightlifting,31.0,164.0,63.0,F
Basketball,23.0,,,M
Equestrianism,30.0,,,M
Equestrianism,30.0,,,M
Athletics,37.0,188.0,66.0,F
